[2025-04-17 18:37:36] CPU: 0.1% | Mem: 17.1% | Net Sent: 364699210752 B | Net Recv: 109507588012 B
[2025-04-17 18:37:42] CPU: 0.3% | Mem: 16.1% | Net Sent: 366956444298 B | Net Recv: 109507790551 B
[2025-04-17 18:37:48] CPU: 0.2% | Mem: 16.1% | Net Sent: 370979035934 B | Net Recv: 109508075794 B
[2025-04-17 18:37:54] CPU: 0.2% | Mem: 17.1% | Net Sent: 370983604676 B | Net Recv: 109508307525 B
[2025-04-17 18:38:00] CPU: 0.4% | Mem: 16.2% | Net Sent: 375256674372 B | Net Recv: 109508646461 B
[2025-04-17 18:38:06] CPU: 0.8% | Mem: 16.4% | Net Sent: 375256783453 B | Net Recv: 109508775845 B
[2025-04-17 18:38:12] CPU: 0.3% | Mem: 16.0% | Net Sent: 379279331698 B | Net Recv: 109512353496 B
[2025-04-17 18:38:18] CPU: 0.1% | Mem: 16.9% | Net Sent: 380491744179 B | Net Recv: 109512733992 B
[2025-04-17 18:38:24] CPU: 0.4% | Mem: 15.8% | Net Sent: 383302127711 B | Net Recv: 109513053960 B
[2025-04-17 18:38:30] CPU: 0.0% | Mem: 15.8% | Net Sent: 387371875075 B | Net Recv: 109513335255 B
[2025-04-17 18:38:36] CPU: 0.4% | Mem: 15.8% | Net Sent: 387579685591 B | Net Recv: 109513490388 B
[2025-04-17 18:38:42] CPU: 0.3% | Mem: 15.8% | Net Sent: 391602204457 B | Net Recv: 109513787010 B
[2025-04-17 18:38:48] CPU: 0.1% | Mem: 16.8% | Net Sent: 395624786137 B | Net Recv: 109514067489 B
[2025-04-17 18:38:54] CPU: 0.4% | Mem: 15.8% | Net Sent: 395624995653 B | Net Recv: 109514290423 B
[2025-04-17 18:39:00] CPU: 0.3% | Mem: 15.9% | Net Sent: 399902472901 B | Net Recv: 109514588014 B
[2025-04-17 18:39:06] CPU: 0.8% | Mem: 16.2% | Net Sent: 399902588344 B | Net Recv: 109514716566 B
[2025-04-17 18:39:12] CPU: 0.7% | Mem: 17.2% | Net Sent: 401632734587 B | Net Recv: 109516486813 B
[2025-04-17 18:39:18] CPU: 0.4% | Mem: 16.1% | Net Sent: 403925233870 B | Net Recv: 109518757760 B
[2025-04-17 18:39:24] CPU: 0.1% | Mem: 17.0% | Net Sent: 407948312147 B | Net Recv: 109519217126 B
[2025-04-17 18:39:30] CPU: 0.3% | Mem: 16.0% | Net Sent: 407948420332 B | Net Recv: 109519343209 B
[2025-04-17 18:39:36] CPU: 0.3% | Mem: 16.0% | Net Sent: 412226590900 B | Net Recv: 109519577937 B
[2025-04-17 18:39:42] CPU: 0.2% | Mem: 17.0% | Net Sent: 412230946117 B | Net Recv: 109519705416 B
[2025-04-17 18:39:48] CPU: 0.3% | Mem: 16.1% | Net Sent: 416249829474 B | Net Recv: 109520285629 B
[2025-04-17 18:39:54] CPU: 0.2% | Mem: 17.0% | Net Sent: 420272501555 B | Net Recv: 109520823151 B
[2025-04-17 18:40:00] CPU: 0.3% | Mem: 16.1% | Net Sent: 420272608913 B | Net Recv: 109520948031 B
[2025-04-17 18:40:06] CPU: 0.3% | Mem: 16.1% | Net Sent: 424342363632 B | Net Recv: 109521267090 B
[2025-04-17 18:40:12] CPU: 0.8% | Mem: 16.3% | Net Sent: 425542061772 B | Net Recv: 109521472913 B
[2025-04-17 18:40:18] CPU: 0.9% | Mem: 16.2% | Net Sent: 425542177672 B | Net Recv: 109521606521 B
[2025-04-17 18:40:24] CPU: 0.4% | Mem: 16.1% | Net Sent: 429564800987 B | Net Recv: 109525353075 B
[2025-04-17 18:40:30] CPU: 0.2% | Mem: 17.0% | Net Sent: 433587342530 B | Net Recv: 109527251879 B
[2025-04-17 18:40:36] CPU: 0.4% | Mem: 16.4% | Net Sent: 433587467849 B | Net Recv: 109527393129 B
[2025-04-17 18:40:42] CPU: 0.4% | Mem: 16.0% | Net Sent: 437864900584 B | Net Recv: 109528886820 B
[2025-04-17 18:40:48] CPU: 0.4% | Mem: 16.0% | Net Sent: 441887464715 B | Net Recv: 109530415372 B
[2025-04-17 18:40:54] CPU: 0.3% | Mem: 16.0% | Net Sent: 445910108133 B | Net Recv: 109532034573 B
[2025-04-17 18:41:00] CPU: 0.2% | Mem: 17.0% | Net Sent: 447933840289 B | Net Recv: 109532844498 B
[2025-04-17 18:41:06] CPU: 0.6% | Mem: 16.0% | Net Sent: 450187648531 B | Net Recv: 109533642235 B
[2025-04-17 18:41:12] CPU: 0.4% | Mem: 16.9% | Net Sent: 451719910436 B | Net Recv: 109535070558 B
[2025-04-17 18:41:18] CPU: 0.4% | Mem: 15.8% | Net Sent: 454210301886 B | Net Recv: 109537340936 B
[2025-04-17 18:41:24] CPU: 0.4% | Mem: 15.8% | Net Sent: 458232962679 B | Net Recv: 109538993542 B
[2025-04-17 18:41:30] CPU: 0.3% | Mem: 15.8% | Net Sent: 462510389945 B | Net Recv: 109540439351 B
